Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1001,100nF,C_0603_1608Metric,117.348,-114.935,0.0,top
C201,12pF,C_0603_1608Metric,124.206695,-120.201,-90.0,top
C202,100nF,C_0402_1005Metric,121.784106,-123.207411,-45.0,top
C203,12pF,C_0603_1608Metric,121.444695,-117.28,180.0,top
C401,1000uF,CP_Elec_8x10.5,115.5,-150.5,0.0,top
C402,22uF,C_0603_1608Metric,119.196,-140.532,0.0,top
C901,22uF,C_0603_1608Metric,125.714,-145.361091,180.0,top
C902,100nF,C_0402_1005Metric,128.353,-144.853091,0.0,top
C903,22nF,C_0402_1005Metric,128.353,-145.996091,0.0,top
C904,22uF,C_0603_1608Metric,122.92,-139.758091,0.0,top
C905,22uF,C_0603_1608Metric,122.92,-141.424091,0.0,top
C906,100nF,C_0402_1005Metric,122.922,-138.376091,0.0,top
D1001,1N4148WS,D_SOD-323,134.517,-125.425,0.0,top
D1101,SS53,D_SMA,112.0,-119.8015,180.0,top
D1102,SS53,D_SMA,104.5,-119.8515,180.0,top
D1103,SS53,D_SMA,112.0,-115.8515,180.0,top
D1104,SS53,D_SMA,104.5,-115.8515,180.0,top
D201,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.5,-162.135,-90.0,top
D401,1N4148WS,D_SOD-323,119.45,-138.5,0.0,top
J1001,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,103.886,-143.143,-90.0,top
J101,FEMALE,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",120.099,-110.0,180.0,top
J1201,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,103.886,-133.143,-90.0,top
J401,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,137.033,-133.27,90.0,top
J701,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,137.033,-143.27,90.0,top
J801,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,137.033,-153.27,90.0,top
J901,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,103.886,-153.143,-90.0,top
L901,L,L_Bourns-SRN8040_8x8.15mm,126.4915,-151.411091,180.0,top
R1001,1k,R_0603_smalltext,130.834,-125.298,0.0,top
R1002,10k,R_0603_smalltext,131.088,-110.82,0.0,top
R1003,10k,R_0603_smalltext,134.898,-110.82,0.0,top
R1004,10k,R_0603_smalltext,105.566,-139.152,180.0,top
R1005,10k,R_0603_smalltext,105.566,-147.026,180.0,top
R1201,10k,R_0603_smalltext,105.566,-129.152,180.0,top
R1202,10k,R_0603_smalltext,105.566,-137.026,180.0,top
R201,6k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,104.5,-162.0875,-90.0,top
R202,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.287,-125.603,-90.0,top
R401,10k,R_0603_smalltext,135.353,-137.261,0.0,top
R402,10k,R_0603_smalltext,135.353,-129.387,0.0,top
R701,10k,R_0603_smalltext,135.353,-147.261,0.0,top
R702,10k,R_0603_smalltext,135.353,-139.387,0.0,top
R801,10k,R_0603_smalltext,135.353,-157.261,0.0,top
R802,10k,R_0603_smalltext,135.353,-149.387,0.0,top
R901,220k,R_0603_1608Metric,123.936,-133.550091,0.0,top
R902,20k,R_0603_1608Metric,127.111,-134.693091,0.0,top
R903,150k,R_0603_1608Metric,123.936,-135.201091,180.0,top
R904,10k,R_0603_smalltext,105.566,-149.152,180.0,top
R905,10k,R_0603_smalltext,105.566,-157.026,180.0,top
SW601,SW_Push,tactile_SMD_6mm,112.516,-166.101805,90.0,top
SW602,SW_Push,tactile_SMD_6mm,121.025,-159.751805,0.0,top
SW603,SW_Push,tactile_SMD_6mm,121.025,-166.736805,0.0,top
SW604,SW_Push,tactile_SMD_6mm,129.586,-166.133805,90.0,top
U1001,6N137,SOP-8_6.62x9.15mm_P2.54mm,133.27,-117.975,0.0,top
U202,ATmega328-A,TQFP-32_7x7mm_P0.8mm,117.974695,-127.831,135.0,top
U901,MT2499A,TI_SO-PowerPAD-8,127.365,-140.121591,90.0,top
Y201,Crystal_GND2,crystal_arduino,121.505695,-120.158,90.0,top
